,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_1kg
10,2244899002693,AH Vloerbrood Meergranen HL,,,Albert Heijn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Netherlands",a,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Breads,2.5
11,2287492001991,,,,Albert Heijn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Netherlands",b,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Breads,2.5
12,2396295302997,Biff av Nöt innerfile,299 g,,Snellman,"Meats and their products,Beef and its products,Meats,Beef",,,"Åland Islands,Finland",a,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,,Beef,43.33
13,3662317005108,Pate de wasabi,,,,"Condiments,Sauces,Wasabi pastes",,,"Finland,France",unknown,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,unknown,Wasabi pastes,4.607
14,4002971277005,High protein banana & choc topping flavour,200 g,,Ehrmann,"Dairies,Desserts,Dairy desserts,Chocolate desserts",,,"Finland,Germany",a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,unknown,Chocolate desserts,2.05
15,4011800420611,Peanut sweet & salty,6 x 25 g,,Corny,"Plant-based foods and beverages,Plant-based foods,Snacks,Sweet snacks,Nuts and their products,Bars,Nut bars,Peanut bars",,,"Denmark,Finland",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Peanut bars,2.5
16,4056489133032,Spaghetti sans gluten,500 g,,Combino,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Specific products,Pastas,Products for specific diets,Products without gluten,Gluten-free pasta",,,"Belgium,Finland,Germany",b,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,unknown,Gluten-free pasta,2.65
17,4056489450061,Tagliatelle,500 g,,Combino,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Noodles,Durum wheat pasta,Egg pastas,Durum wheat pasta with egg,Egg noodles,Egg tagliatelle,Tagliatelle",,,"Belgium,Finland",a,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Tagliatelle,2.65
18,4056489532774,Tortilla chips sweet chili,450 g,,Snack-day,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips",,,"Finland,Netherlands",d,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Corn chips,2.1
19,4056489955146,Gyoza,400g,,"Lidl,Vitasia","Meals,Pasta dishes,Stuffed pastas,Ravioli,Japanese ravioli",,,"Finland,Germany",b,Composite foods,One-dish meals,"Composite foods,One-dish meals",,unknown,Japanese ravioli,2.95
20,4100290024758,Caramel Macchiato,750 ml,,Starbucks,"Beverages,Dairies,Dairy drinks,Coffee drinks,Cappuccino",,,"Finland,United Kingdom",c,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,unknown,Cappuccino,0.55
21,4100290035969,White chocolate mocha flavour,750 ml,,"Starbucks,Arla","Beverages and beverages preparations,Beverages,Dairies,Dairy drinks",,,"Finland,Germany",c,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,unknown,Dairy drinks,0.55
22,4260283681402,Oat energy bar,95 g,,oat-king,"Snacks,Sweet snacks,Bars,Cereal bars,Dietary supplements,Bodybuilding supplements,Energy bars,fi:hiutale",,,"Finland,France",not-applicable,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,fi:hiutale,2.5
23,4712308172216,Pineapple cake,250g,,liroy,"Snacks,Sweet snacks,Biscuits and cakes,Cakes",,,"Denmark,Finland,France,Germany,Italy,Japan,Netherlands,Norway,Spain,Sweden",d,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Cakes,2.5
24,4714221131219,Japanese Style Taro Mochi,210g,,bamboo-house,"Snacks,Desserts,Sweet snacks,Biscuits and cakes,Cakes,Pastries,Mochi",,,"Croatia,Czech Republic,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Spain,Sweden",d,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Mochi,2.5
25,4740113034276,Koorene joghurt mustikatega,,,Farmi,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,"Estonia,Finland",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,1.05
26,4740113034283,Koorene joghurt mustade kirssidega,,,Farmi,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,,"Estonia,Finland",c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,1.05
27,4740376022706,Skinka-Ananaspizza,420 g,,Chef-lunden,"Meals,Pizzas pies and quiches,Pizzas",,,"Åland Islands,Finland",c,Composite foods,Pizza pies and quiches,"Composite foods,Pizza pies and quiches",,,Pizzas,2.95
28,4902102149655,Fanta pomme,,,fanta,"Plant-based foods and beverages,Beverages,Plant-based beverages,Carbonated drinks,Fruit-based beverages,Sodas,Fruit sodas,Sweetened beverages",,,"Finland,France",d,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,not-applicable,Sweetened beverages,0.55
29,5000159556804,Twix White,46g,,Twix,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bars",,,"Finland,Poland",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Bars,2.5
30,5010265000405,"Ryvita Rug Knekkebrød, 400 g",400 g,,Jensen-co-as,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Crispbreads,Rye breads",,,"Finland,Norway",a,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Rye breads,2.5
31,5034660518471,Cadbury double decker chocolate bar,80 g,,"Cadbury-s,Cadbury","Snacks,Sweet snacks,Confectioneries",,,"Finland,United States",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Confectioneries,2.95
32,50357086,Pastillas Fisherman's friend,,,Fisherman-s-friend,"Snacks,Sweet snacks,Confectioneries,Candies",,,"Finland,Spain",c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
33,5060122036849,Snickers shake,350ml,,Mars,"Beverages,Dairies,Dairy drinks,Sweetened beverages",,,"Finland,France",d,Beverages,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",,unknown,Sweetened beverages,0.55
34,5060221208789,Grenade Chocolate Chip Salted Caramel Flavour,60 g,,Grenade,"Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Protein bars",,,"Belgium,Finland",not-applicable,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Protein bars,2.5
35,5694230257645,Krunchy Keto,,,Goodgood,"Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements",,,"Finland,Iceland",unknown,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Bodybuilding supplements,2.5
36,5906013002091,Obiadowa sałatka warzywna,670 g,,Orzech,"Meals,Prepared salads,Vegetable salads",,,"Finland,Poland",c,Composite foods,One-dish meals,"Composite foods,One-dish meals",,unknown,Vegetable salads,2.95
37,5908243701676,Lindor,100 g,,lindt,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,,"Finland,Poland",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Bonbons,2.95
38,6405164000493,Classic medium couscous,500g,,lineaverde,"Meals,Savory semolina dishes,Prepared couscous",,,"Finland,France",a,Composite foods,One-dish meals,"Composite foods,One-dish meals",,unknown,Prepared couscous,2.95
39,6405320001029,Grillbacon,500 g,,Oravais,"Meats and their products,Meats,Pork and its products,Pork,Bacon",,,"Åland Islands,Finland",d,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,,Bacon,43.33
40,6407870079817,Suomalainen Pekonikuutio,140g,,Atria,"Meats and their products,Meats,Pork and its products,Pork,Bacon,Sliced bacon",,,"Finland,France",e,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,unknown,Sliced bacon,43.33
41,6408432000751,Profeel pudding,,,Valio,"Desserts,Puddings",,,"Andorra,Finland",a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,unknown,Puddings,2.05
42,6409280000580,Jouluvuoka viipaloitu,,,Amman-leipa-oy,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",c,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
43,6410381092152,Mexican Salsa Nuts,,,Taffel,"Plant-based foods and beverages,Plant-based foods,Snacks,Salty snacks,Nuts and their products,Nuts",,,"Finland,Lithuania",e,Salty snacks,Nuts,"Salty snacks,Nuts",,,Nuts,2.9
44,6410381092510,Nut cocktail,,,Taffel,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts",,,"Finland,France",unknown,Salty snacks,Nuts,"Salty snacks,Nuts",,unknown,Nuts,2.9
45,6410405076045,Saaristolaisleipä,500g,,Pirkka,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",d,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
46,6410405108692,Grillost,250 g,,Pirkka,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses",,,"Åland Islands,Finland",d,Milk and dairy products,Cheese,"Milk and dairy products,Cheese",,,Cow cheeses,12.05
47,6410405133182,Amerikanska chokladcookies,150g,,,"Snacks,Sweet snacks,Biscuits and cakes",,,"Åland Islands,Finland,Sweden",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Biscuits and cakes,2.5
48,6410405226723,Belgian Chocolate Biscuits,100 g,,,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",,,"Åland Islands,Finland",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Biscuits,2.5
49,6411401015168,Taloussuklaa,200 g,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Chocolates",,,"Finland,France",e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Chocolates,2.95
50,6411401015335,Marianne Crisp,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Bars,Chocolate candies,Bars-covered-with-chocolate",,,"Finland,France",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Bars-covered-with-chocolate,2.5
51,6411401035050,Pantteri Mix,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,,"Belgium,Finland",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Bonbons,2.95
52,6411401035890,Omar,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Bonbons,2.95
53,6411401037153,Pax original recipe,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,,"Finland,France",d,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Bonbons,2.95
54,6411401037177,Salta katten,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Candies",,,"Finland,Spain",d,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
55,6411401061011,Moomin Mustikka-vadelma lakritsi,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Specific products,Chocolate candies,Bonbons,Licensed products",,,"Finland,France",unknown,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Licensed products,2.95
56,6411401062117,Doris,250g,,Fazer,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",,,"Finland,Spain",e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Biscuits,2.5
57,6411401071560,Julia,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Chocolate candies,2.95
58,6411401071577,Geisha,350g,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Chocolates",,,"Finland,Latvia",unknown,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,,Chocolates,2.95
59,6411401071799,Dumle,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Chocolates",,,"Finland,France",e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Chocolates,2.95
60,6411401072680,,150 g,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Chocolates",,,"Finland,France,Germany",e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Chocolates,2.95
61,6411402975102,Hapankorppuja,200 g,,Oululainen,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",c,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
62,6412500075343,Lakupala Mansikka,250 g,,panda,"Snacks,Sweet snacks,Confectioneries,Candies",,,"Finland,Russia",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
63,6413467589508,Reales Brot,1pcs,,Fazer,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Germany",a,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
64,6413600000822,Vichy original,,,"hartwall,vichy","Beverages,Waters,Spring waters,Mineral waters",,,"Finland,France",a,Beverages,Waters and flavored waters,"Beverages,Unsweetened beverages",,not-applicable,Mineral waters,0.0315
65,6413600016014,Jaffa sokeriton hartwall,,,Jaffa,"Plant-based foods and beverages,Beverages,Plant-based beverages,Carbonated drinks,Fruit-based beverages,Artificially sweetened beverages,Sodas,Diet beverages,Fruit sodas,Diet sodas,Orange soft drinks,Light fruit sodas,Light orange soft drinks",,,"Finland,France",b,Beverages,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",,not-applicable,Light orange soft drinks,0.55
66,6413600091134,Novelle plus C+E,,,Hartwall,"Beverages,Carbonated drinks,Waters,Spring waters,Mineral waters,Carbonated waters,Sweetened beverages",,,"Finland,France",a,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,not-applicable,Sweetened beverages,0.55
67,6415715910164,Ciabatta esipaistettu,,,Rainbow,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",c,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
68,6416211000359,Kaurasämpylä,,,Ullan-pakari,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",c,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
69,6416453015258,Karl Fazer Tutti Frutti,200g,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Filled chocolates",,,"Finland,France",e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Filled chocolates,2.95
70,6416453019195,Karl Fazer karamelli & merisuola,37 g,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Bars,Chocolate candies,Bars-covered-with-chocolate",,,"Finland,France",unknown,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Bars-covered-with-chocolate,2.5
71,6416453036741,Marianne Suklaarakeita,,,Fazer,"Snacks,Sweet snacks,Confectioneries,Candies",,,"Finland,Switzerland",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
72,6416453038608,Geisha,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Chocolate candies,2.95
73,6416453071148,Blueberry Truffle In Milk Chocolate,270g,,fazer-blueberry-truffle-in-milk-chocolate,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Chocolates",,,"Finland,France",e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Chocolates,2.95
74,6416453083608,Kismet mini,,,Fazer,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Chocolate candies,2.95
75,6416884199152,Äppelciderdryck,1.5 l,,Spring,"Beverages,Sweetened beverages",,,"Åland Islands,Finland",e,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,,Sweetened beverages,0.55
76,6419811100023,Yosa,,,Fazer,"Plant-based foods and beverages,Dairy substitutes,Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Plant-based ice creams,Plant-based ice cream tubs",,,"Finland,Luxembourg",c,Milk and dairy products,Ice cream,"Milk and dairy products,Ice cream",,unknown,Plant-based ice cream tubs,2.6
77,6419811100030,Frozen oats Rasberry,500ml (400g),,Fazer,"Plant-based foods and beverages,Dairy substitutes,Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Plant-based ice creams,Plant-based ice cream tubs",,,"Finland,France",c,Milk and dairy products,Ice cream,"Milk and dairy products,Ice cream",,unknown,Plant-based ice cream tubs,2.6
78,6419811100061,Yosa frozen oats tyrni,136ml (109g),,Fazer,"Plant-based foods and beverages,Dairy substitutes,Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Plant-based ice creams,Plant-based ice cream tubs",,,"Finland,France",c,Milk and dairy products,Ice cream,"Milk and dairy products,Ice cream",,unknown,Plant-based ice cream tubs,2.6
79,6420256012673,Jenkki Original Xylitol,100g,,Cloetta,"Snacks,Sweet snacks,Confectioneries,Chewing gum",,,"Finland,Germany",not-applicable,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Chewing gum,2.95
80,6420256012734,Raspberry-liquorice ksylitolipurukumi,,,jenkki,"Snacks,Sweet snacks,Confectioneries,Chewing gum,Sugar-free chewing gum",,,"Finland,Spain",not-applicable,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Sugar-free chewing gum,2.95
81,6420256014073,Mini TV Mix hedelmäinen,,,,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Candies,Gummi candies",,,"Finland,Spain",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Gummi candies,2.95
82,6420256014714,Tupla Double Layer Caramel,,,,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Bars,Chocolate candies,Bars-covered-with-chocolate,Caramel chocolate bars",,,"Finland,Italy",unknown,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Caramel chocolate bars,2.5
83,6420400007517,The thin & crispy rye nacho cheese,,,Linkosuo,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps",,,"Finland,France",c,Salty snacks,Appetizers,"Salty snacks,Appetizers",,unknown,Crisps,2.1
84,6420616880751,Poronlihaa,,,riipisen,"Meats and their products,Meats,Reindeer meat",,,"Finland,France",d,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,unknown,Reindeer meat,43.33
85,6420900002821,Pommix,,,halva,"Snacks,Sweet snacks,Confectioneries,Candies,Liquorice candies",,,"Finland,Spain",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Liquorice candies,2.95
86,6420900003903,Salmiakkiruutu,250g,,halva,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,,"Finland,France",e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,unknown,Bonbons,2.95
87,6424200044215,Jyväjemmari,400g,,Leivon,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,France",d,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
88,6425929000445,Mix,,,Sushi,"Meals,Sushi and Maki,Sushis",,,"Bulgaria,Finland",unknown,Composite foods,One-dish meals,"Composite foods,One-dish meals",,unknown,Sushis,2.95
89,6430032800363,Luomu appelsiinilimonadi,"0,33l",,Raikastamo,"Beverages,Carbonated drinks,Sodas",,,"Belgium,Finland",c,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,,Sodas,0.55
90,6430041609919,Toffel & Salt Mörk Choklad,85g,,,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",,,"Åland Islands,Finland",c,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,,Dark chocolates,2.95
91,6430051519673,Dream,45g,,Leader,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dietary supplements,Bodybuilding supplements,Protein bars",,,"Finland,France",not-applicable,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,unknown,Protein bars,2.95
92,6430056289731,Celsius Peach Vibe,355ml,,Celsius-live-fit,"Beverages and beverages preparations,Beverages,Energy drinks,Energy drink without sugar and with artificial sweeteners",,,"Finland,France",c,Beverages,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",,not-applicable,Energy drink without sugar and with artificial sweeteners,0.55
93,7310090786627,Mannafrutti metsämarja,165 g,,Orkla,"Dairies,Desserts,Dairy desserts",,,"Finland,Sweden",c,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,unknown,Dairy desserts,2.05
94,7310240171853,Meat lovers superiore,350 g,,Grandiosa,"Meals,Pizzas pies and quiches,Pizzas",,,"Estonia,Finland",d,Composite foods,Pizza pies and quiches,"Composite foods,Pizza pies and quiches",,unknown,Pizzas,2.95
95,7310861015246,Strawberry vanilla high protein,250 ml,,gainomax,"Beverages,Dairies,Dairy drinks,Dietary supplements,Bodybuilding supplements",,,"Finland,United Kingdom",not-applicable,Beverages,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",,unknown,Bodybuilding supplements,0.55
96,7310861040859,Protein Bar Blueberry,60 g,,gainomax,"Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Protein bars",,,"Finland,Sweden",not-applicable,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Protein bars,2.5
97,7310861040866,Protein bar raspberry,60 g,,gainomax,"Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Protein bars",,,"Denmark,Finland",not-applicable,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,unknown,Protein bars,2.5
98,7340011483069,Sriracha hot chili sauce,455ml,,Coop,"Condiments,Sauces,Hot sauces,Sriracha sauces",,,"Finland,Germany",e,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,unknown,Sriracha sauces,4.607
99,7340191141438,Tortilla Chips Saat,450 g,,"X-tra,Coop,S-ryhma","Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips",,,"Finland,Norway",c,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Corn chips,2.1
100,7340191148789,Tex Mex Chunky Salsa (Hot),300g,,"Coop,Greenyard-prepared,Greenyard","Condiments,Sauces,Dips,Hot sauces",,,"Finland,Norway",c,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,unknown,Hot sauces,4.607
101,7340191151161,Root Vegetables,600g,,Coop,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Frozen foods,Frozen plant-based foods,Frozen vegetables",,,"Denmark,Finland",a,Fruits and vegetables,Vegetables,"Fruits and vegetables,Vegetables",,unknown,Frozen vegetables,1.55
102,7350042710515,Vitamin Well Reload,500 ml,,vitamin-well,"Beverages,Waters,Vitamin waters",,,"Finland,France",c,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,not-applicable,Vitamin waters,0.55
103,7350046814127,Mjölk-Bröd,,,delta-food,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,"Finland,Sweden",d,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,unknown,Breads,2.5
104,7350086160710,Energy drink Boom!,25 cl,,Gsd,"Beverages and beverages preparations,Beverages,Energy drinks",,,"Finland,Sweden",unknown,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,not-applicable,Energy drinks,0.55
